Informações detalhadas sobre empréstimos de ativos que foram formalmente registrados.  Para todas as modalidades que a B3 publica no Boletim Diário a metodologia da taxa média de cada ativo divulgada no empréstimo é a média ponderada pela quantidade de negócios na data do pregão. Nos dias em que não houver negociação no ativo, a taxa divulgada será a última calculada disponível. Os detalhes sobre as regras utilizadas, bem como a definição de cada um dos campos, estão disponíveis no ;;;;;;;;;;;;;
Glossário;https://www.b3.com.br/data/files/32/02/C0/25/391EA810E9C1AAA8AC094EA8/Glossario%20_%20Emprestimos_Registrados.pdf;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;Taxa doador;;;Taxa tomador;;
Data;Código IF;Código ISIN;Empresa ou fundo;Mercado;Número de contratos;Quantidade de ativos;Valor em R$;Mínima;Média ponderada;Máxima;Mínima;Média ponderada;Máxima
30/06/2026;BAZA3;BRBAZAACNOR0;BCO AMAZONIA S.A.;Registro;2;318;19299,42;2,92%;2,92%;2,92%;2,92%;2,92%;2,92%
30/06/2026;RPAD6;BRRPADACNPB2;ALFA HOLDINGS S.A.;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;BILB34;BRBILBBDR005;BANCO BILBAO VIZCAYA ARGENTARIA SA;Registro;;0;0;12,00%;12,00%;12,00%;12,00%;12,00%;12,00%
30/06/2026;BEWZ39;BRBEWZBDR000;ISHARES MSCI BRAZIL ETF;Registro;;0;0;8,50%;8,50%;8,50%;8,50%;8,50%;8,50%
30/06/2026;L2RN34;BRL2RNBDR005;STRIDE INC;Registro;;0;0;20,00%;20,00%;20,00%;20,00%;20,00%;20,00%
30/06/2026;VIVA3;BRVIVAACNOR0;VIVARA PARTICIPAÇOES S.A;Registro;209;952296;22026606,48;0,10%;4,41%;5,00%;0,10%;4,41%;5,00%
30/06/2026;E1XP34;BRE1XPBDR009;EXPEDITORS INTERNATIONAL OF WASHINGTON INC;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
30/06/2026;TFCO4;BRTFCOACNPR8;TRACK & FIELD CO S.A.;Registro;4;7005;106826,25;0,13%;0,13%;0,13%;0,13%;0,13%;0,13%
30/06/2026;BLTP39;BRBLTPBDR002;PIMCO 15 YEAR U.S. TIPS INDEX EXCHANGE-TF;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;S1JM34;BRS1JMBDR009;THE JM SMUCKER CO;Registro;;0;0;0,50%;0,50%;0,50%;0,50%;0,50%;0,50%
30/06/2026;T1EL34;BRT1ELBDR001;TE CONNECTIVITY PLC;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;BMBB39;BRBMBBBDR008;ISHARES MBS ETF;Registro;;0;0;2,00%;2,00%;2,00%;2,00%;2,00%;2,00%
30/06/2026;AZOI34;BRAZOIBDR000;AUTOZONE INC;Registro;;0;0;20,00%;20,00%;20,00%;20,00%;20,00%;20,00%
30/06/2026;U1LT34;BRU1LTBDR006;ULTA BEAUTY INC;Registro;;0;0;7,00%;7,00%;7,00%;7,00%;7,00%;7,00%
30/06/2026;H2UB34;BRH2UBBDR000;HUBSPOT INC;Registro;;0;0;16,00%;16,00%;16,00%;16,00%;16,00%;16,00%
30/06/2026;INBR32;BRINBRBDR007;INTER CO INC;Registro;19;23754;661311,36;0,09%;0,10%;0,10%;0,09%;0,10%;0,10%
30/06/2026;IBKR34;BRIBKRBDR003;INTERACTIVE BROKERS GROUP INC;Registro;3;374;10625,34;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;M2PT34;BRM2PTBDR005;MEDICAL PROPERTIES TRUST INC;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;MELK3;BRMELKACNOR8;MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.;Registro;2;50050;161661,5;0,04%;0,04%;0,04%;0,04%;0,04%;0,04%
30/06/2026;BCWV39;BRBCWVBDR003;ISHARES MSCI GLOBAL MIN VOL FACTOR ETF;Registro;;0;0;25,00%;25,00%;25,00%;25,00%;25,00%;25,00%
30/06/2026;DTCR39;BRDTCRBDR003;GLOBAL X DATA CENTER & DIGITAL INFRASTRUCTURE ETF;Registro;2;109;8692,75;11,80%;11,80%;11,80%;11,80%;11,80%;11,80%
30/06/2026;PCIP11;BRPCIPCTF003;PATRIA CRÉD IMOB ÍNDICE DE PREÇOS FII - RESP LIM;Registro;1;5;393,85;2,66%;2,66%;2,66%;2,66%;2,66%;2,66%
30/06/2026;BIWM39;BRBIWMBDR009;ISHARES RUSSELL 2000 ETF;Registro;;0;0;25,00%;25,00%;25,00%;25,00%;25,00%;25,00%
30/06/2026;BHYC39;BRBHYCBDR008;ISHARES 0-5 YEAR HIGH YIELD CORPORATE BOND ETF;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;T2ER34;BRT2ERBDR006;TERADYNE INC;Registro;2;167;21250,75;7,00%;7,00%;7,00%;7,00%;7,00%;7,00%
30/06/2026;VCRI11;BRVCRICTF007;VINCI CREDIT SECURITIES FII RESP LIM;Registro;;0;0;8,00%;8,00%;8,00%;8,00%;8,00%;8,00%
30/06/2026;AURO11;BRAUROCTF001;BUENA VISTA NEOS GOLD H INC INDEX FDO IND RES LIM;Registro;;0;0;9,27%;9,27%;9,27%;9,27%;9,27%;9,27%
30/06/2026;OURO11;BROUROCTF002;B-INDEX ETF OURO BRL B3 FUNDO DE INDICE -RESP LIM;Registro;;0;0;2,00%;2,00%;2,00%;2,00%;2,00%;2,00%
